name,stance,height_in,weight_lb,reach_in,date_of_birth,record,source_url
Roy Nelson,Orthodox,,,73.0,,,
Jake O'Brien,Orthodox,,,76.0,,,
Fabricio Werdum,Orthodox,,,77.0,,,
Marcio Cruz,Orthodox,,,,,,
Wesley Correira,Orthodox,,,,,,
Vladimir Matyushenko,Orthodox,,,74.0,,,
Ian Freeman,Orthodox,,,,,,
Pedro Rizzo,Orthodox,,,,,,
Ricco Rodriguez,Orthodox,,,,,,
Aaron Brink,Orthodox,,,,,,
Garrett Armfield,Orthodox,,,70.0,,,
Serhiy Sidey,Switch,,,72.0,,,
Brady Hiestand,Orthodox,,,71.0,,,
Brad Katona,Orthodox,,,64.0,,,
Toshiomi Kazama,Orthodox,,,69.0,,,
David Onama,Orthodox,,,74.0,,,
Joey Armstrong,Orthodox,,,,,,
Sam Spengler,Orthodox,,,,,,
Austin Arnett,Orthodox,,,72.0,,,
Shane Young,Orthodox,,,72.0,,,
Humberto Bandenay,Southpaw,,,71.0,,,
Cory Sandhagen,Switch,,,70.0,,,
Brandon Davis,Orthodox,,,72.0,,,
Ricardo Arona,Orthodox,,,,,,
Rameau Thierry Sokoudjou,Orthodox,,,78.0,,,
Wanderlei Silva,Orthodox,,,74.0,,,
Kazushi Sakuraba,Southpaw,,,,,,
Dean Lister,Orthodox,,,75.0,,,
Sergey Ignatov,Orthodox,,,,,,
Quinton Jackson,Orthodox,,,73.0,,,
Murilo Rua,Orthodox,,,,,,
Dan Henderson,Orthodox,,,74.0,,,
Guy Mezger,Orthodox,,,,,,
Eli Aronov,Orthodox,,,72.0,,,
Zach Reese,Switch,,,77.0,,,
Chalid Arrab,Orthodox,,,,,,
Kazuhiro Nakamura,Orthodox,,,70.0,,,
Rodney Faverus,Southpaw,,,,,,
Akbarh Arreola,Southpaw,,,71.0,,,
Francisco Trinaldo,Southpaw,,,70.0,,,
Yves Edwards,Southpaw,,,73.0,,,
Tiago dos Santos e Silva,Orthodox,,,70.0,,,
Matt Arroyo,Orthodox,,,72.0,,,
Dan Cramer,Orthodox,,,,,,
Matt Brown,Orthodox,,,75.0,,,
John Kolosci,Orthodox,,,,,,
Antonio Arroyo,Orthodox,,,73.0,,,
Joaquin Buckley,Southpaw,,,76.0,,,
Deron Winn,Orthodox,,,70.0,,,
Andre Muniz,Southpaw,,,78.0,,,
Stephen Regman,Orthodox,,,76.0,,,
Diego Henrique da Silva,Orthodox,,,,,,
Gilles Arsene,Southpaw,,,,,,
Cesar Arzamendia,Orthodox,,,,,,
Damien Brown,Orthodox,,,68.0,,,
Marco Polo Reyes,Orthodox,,,71.0,,,
Kai Asakura,Orthodox,,,69.0,,,
Tim Elliott,Southpaw,,,66.0,,,
Teddy Ash,Switch,,,73.0,,,
Dusko Todorovic,Orthodox,,,74.0,,,
Yanal Ashmouz,Orthodox,,,69.0,,,
Quillan Salkilld,Orthodox,,,75.0,,,
Trevor Peek,Switch,,,70.0,,,
Chris Duncan,Orthodox,,,71.0,,,
Sam Patterson,Orthodox,,,78.0,,,
Askar Askarov,Orthodox,,,67.0,,,
Kai Kara-France,Orthodox,,,69.0,,,
Joseph Benavidez,Southpaw,,,65.0,,,
Alexandre Pantoja,Orthodox,,,67.0,,,
Brandon Moreno,Orthodox,,,70.0,,,
Cyril Asker,Orthodox,,,74.0,,,
Hu Yaozong,Orthodox,,,72.0,,,
Dmitrii Smoliakov,Switch,,,74.0,,,
Jared Cannonier,Switch,,,77.0,,,
Khusein Askhabov,Orthodox,,,69.0,,,
Jamall Emmers,Orthodox,,,74.0,,,
Scott Askham,Southpaw,,,75.0,,,
Brad Scott,Orthodox,,,76.0,,,
Jack Hermansson,Orthodox,,,77.0,,,
Chris Dempsey,Orthodox,,,72.0,,,
Krzysztof Jotko,Southpaw,,,77.0,,,
Antonio Dos Santos,Orthodox,,,,,,
Magnus Cedenblad,Orthodox,,,79.0,,,
Ben Askren,Orthodox,,,73.0,,,
Demian Maia,Southpaw,,,72.0,,,
Jorge Masvidal,Orthodox,,,74.0,,,
Robbie Lawler,Southpaw,,,74.0,,,
Ibo Aslan,Orthodox,,,77.0,,,
Iwo Baraniewski,Orthodox,,,73.0,,,
