fight_date,event,fighter_a,fighter_b,sportsbook,fighter_a_odds,fighter_b_odds,timestamp,source_file
2024-01-13,UFC Fight Night: Ankalaev vs. Walker 2,Farid Basharat,Taylor Lapilus,espn_source,-330,260,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2024-01-13,UFC Fight Night: Ankalaev vs. Walker 2,Westin Wilson,Jean Silva,espn_source,600,-1000,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2024-01-13,UFC Fight Night: Ankalaev vs. Walker 2,Nikolas Motta,Tom Nolan,espn_source,300,-400,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2024-01-13,UFC Fight Night: Ankalaev vs. Walker 2,Joshua Van,Felipe Bunes,espn_source,-310,250,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2024-01-20,UFC 297: Strickland vs. Du Plessis,Sean Strickland,Dricus Du Plessis,espn_source,-110,-110,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2024-01-20,UFC 297: Strickland vs. Du Plessis,Raquel Pennington,Mayra Bueno Silva,espn_source,145,-175,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2024-01-20,UFC 297: Strickland vs. Du Plessis,Neil Magny,Mike Malott,espn_source,290,-385,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2024-01-20,UFC 297: Strickland vs. Du Plessis,Chris Curtis,Marc-Andre Barriault,espn_source,-175,145,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2024-01-20,UFC 297: Strickland vs. Du Plessis,Arnold Allen,Movsar Evloev,espn_source,160,-190,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2024-01-20,UFC 297: Strickland vs. Du Plessis,Brad Katona,Garrett Armfield,espn_source,-210,175,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2024-01-20,UFC 297: Strickland vs. Du Plessis,Charles Jourdain,Sean Woodson,espn_source,-210,175,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2024-01-20,UFC 297: Strickland vs. Du Plessis,Serhiy Sidey,Ramon Taveras,espn_source,-210,175,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2024-01-20,UFC 297: Strickland vs. Du Plessis,Gillian Robertson,Polyana Viana,espn_source,-295,240,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
2024-01-20,UFC 297: Strickland vs. Du Plessis,Yohan Lainesse,Sam Patterson,espn_source,-155,130,,C:\Users\cgore\OneDrive\Documents\GitHub\ufc-fight-predictor\data\raw\enrichment_sources\espn_ufc_events\ufc_fights.csv
