fight_id,event_name,fight_date,event_location,fighter_a,fighter_b,winner,weight_class,method,finish_round,finish_time,scheduled_rounds,main_event,source_url,title_fight
9698,UFC Fight Night: Blaydes vs. Lewis,2021-02-20,"Las Vegas, Nevada, USA",Drako Rodriguez,Aiemann Zahabi,Aiemann Zahabi,Bantamweight,KO/TKO Punch,1.0,3:05,3,0,,0
9699,UFC Fight Night: Font vs. Garbrandt,2021-05-22,"Las Vegas, Nevada, USA",Victor Rodriguez,Bruno Silva,Bruno Silva,Flyweight,KO/TKO Punch,1.0,1:00,3,0,,0
9700,UFC Fight Night: Hall vs. Silva,2020-10-31,"Las Vegas, Nevada, USA",Victor Rodriguez,Adrian Yanez,Adrian Yanez,Bantamweight,KO/TKO Kick,1.0,2:46,3,0,,0
9701,UFC Fight Night: Taira vs. Park,2025-08-02,"Las Vegas, Nevada, USA",Piera Rodriguez,Ketlen Souza,Piera Rodriguez,Women's Strawweight,S-DEC,3.0,5:00,3,0,,0
9702,UFC Fight Night: Yusuff vs. Barboza,2023-10-14,"Las Vegas, Nevada, USA",Christian Rodriguez,Cameron Saaiman,Christian Rodriguez,Bantamweight,U-DEC,3.0,5:00,3,0,,0
9703,UFC 287: Pereira vs. Adesanya 2,2023-04-08,"Miami, Florida, USA",Christian Rodriguez,Raul Rosas Jr.,Christian Rodriguez,Bantamweight,U-DEC,3.0,5:00,3,0,,0
9704,UFC Fight Night: Kattar vs. Allen,2022-10-29,"Las Vegas, Nevada, USA",Christian Rodriguez,Joshua Weems,Christian Rodriguez,Bantamweight,SUB Anaconda Choke,1.0,4:07,3,0,,0
9705,UFC 298: Volkanovski vs. Topuria,2024-02-17,"Anaheim, California, USA",Marcos Rogerio de Lima,Junior Tafa,Marcos Rogerio de Lima,Heavyweight,KO/TKO Kick,2.0,1:14,3,0,,0
9706,UFC Fight Night: Holloway vs. Rodriguez,2021-11-13,"Las Vegas, Nevada, USA",Marcos Rogerio de Lima,Ben Rothwell,Marcos Rogerio de Lima,Heavyweight,KO/TKO Punches,1.0,0:32,3,0,,0
9707,UFC Fight Night: Santos vs. Teixeira,2020-11-07,"Las Vegas, Nevada, USA",Marcos Rogerio de Lima,Alexandr Romanov,Alexandr Romanov,Heavyweight,SUB Forearm Choke,1.0,4:48,3,0,,0
9708,UFC Fight Night: Felder vs. Hooker,2020-02-22,"Auckland, New Zealand",Marcos Rogerio de Lima,Ben Sosoli,Marcos Rogerio de Lima,Heavyweight,KO/TKO Punch,1.0,1:28,3,0,,0
9709,UFC Fight Night: Blachowicz vs. Santos,2019-02-23,"Prague, Czech Republic",Marcos Rogerio de Lima,Stefan Struve,Stefan Struve,Heavyweight,SUB Arm Triangle,2.0,2:21,3,0,,0
9710,UFC 230: Cormier vs. Lewis,2018-11-03,"New York City, New York, USA",Marcos Rogerio de Lima,Adam Wieczorek,Marcos Rogerio de Lima,Heavyweight,U-DEC,3.0,5:00,3,0,,0
9711,UFC Fight Night: Swanson vs. Lobov,2017-04-22,"Nashville, Tennessee, USA",Marcos Rogerio de Lima,Ovince Saint Preux,Ovince Saint Preux,Light Heavyweight,SUB Von Flue Choke,2.0,2:11,3,0,,0
9712,EliteXC - Street Certified,2008-02-16,,Brett Rogers,James Thompson,Brett Rogers,Unknown,KO/TKO Punches,1.0,2:24,3,0,,0
9713,UFC on FX: Browne vs Bigfoot,2012-10-05,"Minneapolis, Minnesota, USA",Shane Roller,Jacob Volkmann,Jacob Volkmann,Lightweight,SUB Rear Naked Choke,1.0,2:38,3,0,,0
9714,UFC 148: Silva vs Sonnen 2,2012-07-07,"Las Vegas, Nevada, USA",Shane Roller,John Alessio,Shane Roller,Lightweight,U-DEC,3.0,5:00,3,0,,0
9715,UFC Live: Sanchez vs Kampmann,2011-03-03,"Louisville, Kentucky, USA",Shane Roller,Thiago Tavares,Shane Roller,Lightweight,KO/TKO Punch,2.0,1:28,3,0,,0
9716,WEC 53: Henderson vs. Pettis,2010-12-16,,Shane Roller,Jamie Varner,Shane Roller,Unknown,SUB Rear Naked Choke,1.0,3:55,3,0,,0
9717,UFC 302: Makhachev vs. Poirier,2024-06-01,"Newark, New Jersey, USA",Alexandr Romanov,Jailton Almeida,Jailton Almeida,Heavyweight,SUB Rear Naked Choke,1.0,2:27,3,0,,0
9718,UFC Fight Night: Yan vs. Dvalishvili,2023-03-11,"Las Vegas, Nevada, USA",Alexandr Romanov,Alexander Volkov,Alexander Volkov,Heavyweight,KO/TKO Punches,1.0,2:16,3,0,,0
9719,UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",Alexandr Romanov,Marcin Tybura,Marcin Tybura,Heavyweight,M-DEC,3.0,5:00,3,0,,0
9720,UFC Fight Night: Font vs. Vera,2022-04-30,"Las Vegas, Nevada, USA",Alexandr Romanov,Chase Sherman,Alexandr Romanov,Heavyweight,SUB Keylock,1.0,2:11,3,0,,0
9721,UFC Fight Night: Dern vs. Rodriguez,2021-10-09,"Las Vegas, Nevada, USA",Alexandr Romanov,Jared Vanderaa,Alexandr Romanov,Heavyweight,KO/TKO Punches,2.0,4:43,3,0,,0
9722,UFC 135: Jones vs Rampage,2011-09-24,"Denver, Colorado, USA",Ricardo Romero,James Te Huna,James Te Huna,Light Heavyweight,KO/TKO Punches,1.0,0:47,3,0,,0
9723,UFC 225: Whittaker vs. Romero 2,2018-06-09,"Chicago, Illinois, USA",Yoel Romero,Robert Whittaker,Robert Whittaker,Middleweight,S-DEC,5.0,5:00,5,1,,0
9724,UFC 205: Alvarez vs McGregor,2016-11-12,"New York City, New York, USA",Yoel Romero,Chris Weidman,Yoel Romero,Middleweight,KO/TKO Flying Knee,3.0,0:24,3,0,,0
9725,UFC 194: Aldo vs McGregor,2015-12-12,"Las Vegas, Nevada, USA",Yoel Romero,Jacare Souza,Yoel Romero,Middleweight,S-DEC,3.0,5:00,3,0,,0
9726,UFC on FOX: Werdum vs Browne,2014-04-19,"Orlando, Florida, USA",Yoel Romero,Brad Tavares,Yoel Romero,Middleweight,U-DEC,3.0,5:00,3,0,,0
9727,UFC on FOX: Henderson vs Melendez,2013-04-20,"San Jose, California, USA",Yoel Romero,Clifford Starks,Yoel Romero,Middleweight,KO/TKO Flying Knee,1.0,1:32,3,0,,0
9728,UFC Fight Night: Assuncao vs. Moraes 2,2019-02-02,"Fortaleza, Ceara, Brazil",Mara Romero Borella,Taila Santos,Mara Romero Borella,Women's Flyweight,S-DEC,3.0,5:00,3,0,,0
9729,DWCS 7.10,2023-10-10,,Cortavious Romious,Ramon Taveras,Ramon Taveras,Unknown,KO/TKO Punches,1.0,0:29,3,0,,0
9730,UFC 312: Du Plessis vs. Strickland 2,2025-02-08,"Sydney, New South Wales, Australia",Rongzhu,Kody Steele,Rongzhu,Lightweight,U-DEC,3.0,5:00,3,0,,0
9731,UFC 261: Usman vs. Masvidal 2,2021-04-24,"Jacksonville, Florida, USA",Rongzhu,Kazula Vargas,Kazula Vargas,Lightweight,U-DEC,3.0,5:00,3,0,,0
9732,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Jesse Ronson,Joaquim Silva,Joaquim Silva,Lightweight,KO/TKO Flying Knee,2.0,3:08,3,0,,0
9733,UFC Fight Night: Machida vs Mousasi,2014-02-15,"Jaragua do Sul, Santa Catarina, Brazil",Jesse Ronson,Francisco Trinaldo,Francisco Trinaldo,Lightweight,S-DEC,3.0,5:00,3,0,,0
9734,UFC on FOX: Evans vs Davis,2012-01-28,"Chicago, Illinois, USA",George Roop,Cub Swanson,Cub Swanson,Featherweight,KO/TKO Punch,2.0,2:22,3,0,,0
9735,WEC 46: Varner vs. Henderson,2010-01-10,,George Roop,Eddie Wineland,Eddie Wineland,Unknown,U-DEC,3.0,5:00,3,0,,0
9736,UFC 101: Declaration,2009-08-08,"Philadelphia, Pennsylvania, USA",George Roop,George Sotiropoulos,George Sotiropoulos,Lightweight,SUB Kimura,2.0,1:59,3,0,,0
9737,UFC on FX: Alves vs Kampmann,2012-03-02,"Sydney, New South Wales, Australia",Aaron Rosa,James Te Huna,James Te Huna,Light Heavyweight,KO/TKO Punches,1.0,2:08,3,0,,0
9738,Strikeforce Challengers 1,2009-05-15,,Aaron Rosa,Anthony Ruiz,Aaron Rosa,Unknown,SUB Rear Naked Choke,1.0,4:29,3,0,,0
9739,UFC Fight Night: Blaydes vs. Aspinall,2022-07-23,"London, England, United Kingdom",Charles Rosa,Nathaniel Wood,Nathaniel Wood,Featherweight,U-DEC,3.0,5:00,3,0,,0
9740,UFC Fight Night: Eye vs. Calvillo,2020-06-13,"Las Vegas, Nevada, USA",Charles Rosa,Kevin Aguilar,Charles Rosa,Lightweight,S-DEC,3.0,5:00,3,0,,0
9741,UFC Fight Night: McGregor vs Siver,2015-01-18,"Boston, Massachusetts, USA",Charles Rosa,Sean Soriano,Charles Rosa,Featherweight,SUB D'Arce Choke,3.0,4:43,3,0,,0
9742,UFC Fight Night: Nelson vs Story,2014-10-04,"Stockholm, Sweden",Charles Rosa,Dennis Siver,Dennis Siver,Featherweight,U-DEC,3.0,5:00,3,0,,0
9743,UFC 296: Edwards vs. Covington,2023-12-16,"Las Vegas, Nevada, USA",Karol Rosa,Irene Aldana,Irene Aldana,Women's Bantamweight,U-DEC,3.0,5:00,3,0,,0
9744,UFC Fight Night: Strickland vs. Magomedov,2023-07-01,"Las Vegas, Nevada, USA",Karol Rosa,Yana Santos,Karol Rosa,Women's Featherweight,S-DEC,3.0,5:00,3,0,,0
9745,UFC Fight Night: Cannonier vs. Imavov,2024-06-08,"Louisville, Kentucky, USA",Raul Rosas Jr.,Ricky Turcios,Raul Rosas Jr.,Bantamweight,SUB Rear Naked Choke,2.0,2:22,3,0,,0
9746,DWCS 4.3,2020-08-18,,Hilarie Rose,Cheyanne Vlismas,Cheyanne Vlismas,Unknown,U-DEC,3.0,5:00,3,0,,0
9747,UFC 193: Rousey vs Holm,2015-11-14,"Melbourne, Victoria, Australia",Jared Rosholt,Stefan Struve,Jared Rosholt,Heavyweight,U-DEC,3.0,5:00,3,0,,0
